species_id,class_name,common_name,species,exclude_vis,exclude_messages
265,Stercorarius pomarinus_Pomarine Jaeger,Pomarine Skua,Stercorarius pomarinus,True,False
266,Stercorarius skua_Great Skua,Great Skua,Stercorarius skua,False,False
267,Sterna dougallii_Roseate Tern,Roseate Tern,Sterna dougallii,False,False
268,Sterna hirundo_Common Tern,Common Tern,Sterna hirundo,True,False
269,Sterna paradisaea_Arctic Tern,Arctic Tern,Sterna paradisaea,True,False
270,Sternula albifrons_Little Tern,Little Tern,Sternula albifrons,True,False
271,Streptopelia decaocto_Eurasian Collared-Dove,Collared Dove,Streptopelia decaocto,False,False
272,Streptopelia turtur_European Turtle-Dove,Turtle Dove,Streptopelia turtur,True,False
273,Strix aluco_Tawny Owl,Tawny Owl,Strix aluco,False,False
274,Sturnus vulgaris_European Starling,Starling,Sturnus vulgaris,True,False
275,Sylvia atricapilla_Eurasian Blackcap,Blackcap,Sylvia atricapilla,False,False
276,Sylvia borin_Garden Warbler,Garden Warbler,Sylvia borin,False,False
277,Tachybaptus ruficollis_Little Grebe,Little Grebe,Tachybaptus ruficollis,True,False
278,Tadorna tadorna_Common Shelduck,Shelduck,Tadorna tadorna,True,False
279,Thalasseus sandvicensis_Sandwich Tern,Sandwich Tern,Thalasseus sandvicensis,True,False
280,Tichodroma muraria_Wallcreeper,Wallcreeper,Tichodroma muraria,False,False
281,Tringa erythropus_Spotted Redshank,Spotted Redshank,Tringa erythropus,True,False
282,Tringa glareola_Wood Sandpiper,Wood Sandpiper,Tringa glareola,False,False
283,Tringa nebularia_Common Greenshank,Greenshank,Tringa nebularia,False,False
284,Tringa ochropus_Green Sandpiper,Green Sandpiper,Tringa ochropus,False,False
285,Tringa stagnatilis_Marsh Sandpiper,Marsh Sandpiper,Tringa stagnatilis,False,False
286,Tringa totanus_Common Redshank,Redshank,Tringa totanus,True,False
287,Troglodytes troglodytes_Eurasian Wren,Wren,Troglodytes troglodytes,False,False
288,Turdus iliacus_Redwing,Redwing,Turdus iliacus,True,False
289,Turdus merula_Eurasian Blackbird,Blackbird,Turdus merula,False,False
290,Turdus philomelos_Song Thrush,Song Thrush,Turdus philomelos,False,False
291,Turdus pilaris_Fieldfare,Fieldfare,Turdus pilaris,False,False
292,Turdus torquatus_Ring Ouzel,Ring Ouzel,Turdus torquatus,False,False
293,Turdus viscivorus_Mistle Thrush,Mistle Thrush,Turdus viscivorus,False,False
294,Tyto alba_Barn Owl,Barn Owl,Tyto alba,False,False
295,Upupa epops_Eurasian Hoopoe,Hoopoe,Upupa epops,False,False
296,Uria aalge_Common Murre,Common Guillemot,Uria aalge,True,False
297,Vanellus vanellus_Northern Lapwing,Lapwing,Vanellus vanellus,False,False
298,Xema sabini_Sabine's Gull,Sabine's Gull,Xema sabini,False,False
